Post No,Index No,Organization,Requisition No,Position Grade,No of Applications Submitted,Internal / External,Post title,Vacancy Year
SSSSOAAS,Z,UNDP,46803,A9,56,,Analyste au Programme-Développement Durable et Création d’emploi,2014
SSSSOAAS,Z,UNDP,48495,A9,48,,Republication - Analyste au Programme-Développement Durable et Création d’emploi,2014
SSSSOARS,SPOFK,UNDP,23040,A15,89,Internal,Administrative Clerk,2019
SSSSOARZ,PSZROK,UNDP,55277,A6,1,External,Finance Associate,2015
SSSSOARZ,PSZROK,UNDP,57828,A6,52,External,Finance Associate (Open to Cambodian nationals only),2015
SSSSOARK,FKZFPA,UNDP,23958,A7,30,External,Human Resources (HR) Associate (Re-advertised),2011
SSSSOARF,Z,UNDP,19810,A7,67,,Programme Support Associate,2010
SSSSOADO,FAFOXO,UNDP,25345,A6,55,External,Programme Associate,2011
SSSSOADK,FXOZDR,UNDP,7946,A15,42,Internal,Administrative Clerk,2017
SSSSOAPP,Z,UNDP,22697,A7,158,,Administrative Associate GS7-FTA ( Open to Cameroonian candidates),2019
SSSSORSS,Z,UNDP,51122,A7,103,,Programme Associate,2014
SSSSORSZ,Z,UNDP,26214,A10,28,,Assistant Resident Representative Governance / Crisis Prevention and Recovery; FTA, NOC (open to Cameroonians),2019
SSSSORSF,DKSSRF,UNDP,8971,A7,60,External,Procurement Associate -  UNDP CO,2017
SSSSORSA,Z,UNDP,13257,A6,110,,Executive Associate to RR/RC (Only For Cameroonians),2017
SSSSORZZ,Z,UNDP,67675,A16,246,,Assistant (e) au Programme (DP),2016
SSSSORZK,Z,UNDP,24535,A6,85,,Associé(e) au Programme (2 postes) : (Unité Développement durable -3714) & (Unité Gouvernance - 3717),2019
SSSSORZK,Z,UNDP,39132,A6,155,,Assistant(e) au Programme (Unité Développement durable) - Etre de nationalité Tchadienne),2013
SSSSORZR,Z,UNDP,5014,A6,50,,Programme Associate,2016
SSSSORZD,Z,UNDP,65395,A7,280,,Republication - Associé TIC,2016
SSSSORXS,Z,UNDP,33934,A7,69,,Finance Associate,2012
SSSSORXS,Z,UNDP,35883,A7,89,,Finance Associate,2013
SSSSORXX,Z,UNDP,25919,A16,65,,Procurement Assistant (Chilean nationals or foreigners holding a working-visa and residence in Chile only),2011
SSSSORXF,Z,UNDP,33153,A14,36,,Driver & Logistics Clerk (Chilean Nationals or Foreigners with permanent residence in Chile),2012
SSSSOROX,Z,UNDP,21671,A8,33,,Finance Analyst,2019
SSSSOROX,Z,UNDP,6569,A7,15,,Finance Associate,2016
SSSSORFK,Z,UNDP,21710,A7,20,,Procurement Associate,2019
SSSSORFK,RDFAAS,UNDP,11240,A16,12,External,Procurement Assistant,2017
SSSSORAZ,Z,UNDP,21711,A9,22,,Human Resources Analyst,2019
SSSSORAK,Z,UNDP,6573,A6,24,,Programme Associate,2016
SSSSORRR,SRKZSR,UNDP,62782,A10,208,Internal,Programme Specialist (Democratic Governance),2016
SSSSORRD,FKZXK,UNDP,8031,A9,131,External,UN Coordination Analyst,2017
SSSSORDF,Z,UNDP,62776,A10,295,,Communications Specialist,2016
SSSSORDR,Z,UNDP,5101,A6,70,,Human Resources Associate,2016
SSSSORDR,Z,UNDP,7188,A6,36,,Human Resources Associate (SC),2016
SSSSFKPA,ASPROK,UNDP,11321,A16,36,External,Procurement and Logistics Assistant,2017
SSSSFKPA,APDZFS,UNDP,14635,A16,82,Internal,Procurement and Logistics Assistant,2018
SSSSFKPA,APDZFS,UNDP,6132,A16,51,Internal,Procurement Assistant,2018
SSSSFFKA,DDAAKS,UNDP,27340,A16,90,External,Programme Assistant,2012
SSSSFFAX,Z,UNDP,6944,A16,67,,Programme Assistant UNV,2016
SSSSFFDZ,Z,UNDP,18989,A16,703,,18636 - UNV Country Operations Assistant,2010
SSSSFFDZ,Z,UNDP,33691,A16,975,,Programme Assistant, UNV,2012
SSSSFFDK,PDXROX,UNDP,8835,A6,44,External,Executive Associate to the Director,2017
SSSSFAXO,Z,UNDP,25411,A15,127,,Commis aux Ressources Humaines,2011
SSSSFARZ,Z,UNDP,19569,A10,2,,UN Coordination Specialist (for Samoan nationals only),2010
SSSSFARZ,Z,UNDP,32674,A9,5,,UN Coordination Analyst (for Samoan nationals only),2012
SSSSFARZ,Z,UNDP,5723,A10,20,,UN Coordination Specialist,2016
SSSSFARZ,DKKZRD,UNDP,37272,A10,13,Internal,UN Coordination Specialist (for Samoan nationals only),2014
SSSSFARZ,FAXXOO,UNDP,17481,A10,16,Internal,UN Coordination Specialist,2018
SSSSFARZ,FAXXOO,UNDP,17774,A10,10,Internal,UN Coordination Specialist,2018
SSSSFARZ,FAXXOO,UNDP,17993,A10,6,Internal,UN Coordination Specialist,2018
SSSSFAPK,Z,UNDP,5833,A9,13,,Programme Analyst - Governance & Poverty Reduction,2016
SSSSFAPK,SRDKAS,UNDP,7745,A9,41,External,Programme Analyst - Governance & Poverty Reduction,2017
SSSSFAPR,KZXKRP,UNDP,24882,A6,176,External,Procurement Associate,2011
SSSSFAPD,Z,UNDP,20011,A9,113,,Programme Analyst (Democratic Governance),2018
SSSSFRSA,SORKXZ,UNDP,28756,A6,71,External,Audit/Administrative Associate, Regional Audit Centre-Asia and Pacific (RAC-AP),2012
SSSSFRSA,PAZDAX,UNDP,18295,A6,63,External,Administrative Associate (Regional Audit Centre-Asia Pacific),2010
SSSSFRSA,KPAZDP,UNDP,48176,A6,33,External,Audit Administrative Associate, Regional Audit Centre for Asia and the Pacific,2014
SSSSFRZS,ROXXSD,UNDP,63581,A16,736,Internal,Programme Assistant,2016
SSSSFRXS,DFPZFK,UNDP,11097,A14,22,External,Receptionist,2017
SSSSFRKK,Z,UNDP,24627,A16,143,,Assistant à la Sécurité (LSA),2011
SSSSFRKF,Z,UNDP,12623,A9,3,,Programme Analyst-EEEI,2017
SSSSFRKF,Z,UNDP,13148,A9,9,,Programme Analyst-EEEI (cancelled, we have re-posted this job opening with modified criteria, the new # is 13315),2017
SSSSFRKF,Z,UNDP,13315,A9,20,,Programme Analyst-EEEI (Open only to nationals of Guyana),2017
SSSSFRKF,Z,UNDP,37254,A9,55,,Programme Analyst - Environment & Sustainable Development (Only for citizens of Guyana),2013
SSSSFRKF,Z,UNDP,39847,A10,51,,Programme Specialist - Environment, Extractive Industry & Energy -  (For citizens of Guyana only),2013
SSSSFRFA,Z,UNDP,40963,A6,311,,ICT Support/ LAN Associate - (Open to Nationals of Zimbabwe only),2013
SSSSFRFA,DPXDAK,UNDP,3902,A6,89,External,ICT Associate,2016
SSSSFRAS,FRDOXD,UNDP,47818,A15,125,Internal,Audit Specialist,2014
SSSSFRAR,Z,UNDP,12579,A8,9,,Finance Analyst,2017
SSSSFRAR,Z,UNDP,12834,A8,17,,Finance Analyst,2017
SSSSFDZA,Z,UNDP,44863,A16,407,,Programme Assistant (UNV) - (Open to Zambian Nationals Only),2014
SSSSFDKP,Z,UNDP,64527,A6,91,,Clinic Laboratory Technician - UN Clinic  ( UN Clinic for Rwandese Nationals Only),2016
SSSSFPXR,KSZZPRAO,UNDP,20274,A7,104,External,Procurement Associate (priority for Kuwaiti nationals),2019
SSSSFPXD,Z,UNDP,60235,A6,97,,Local Security Associate (Open to Zambian Nationals Only),2015
SSSSAXFA,RSPDKS,UNDP,10828,A13,38,External,Investigations Specialist (2 postes),2017
SSSSAXFA,RSPDKS,UNDP,11580,A13,60,External,Information Management Analyst,2017
SSSSAXPK,Z,UNDP,5632,A14,43,,Receptionist,2016
SSSSAOFS,Z,UNDP,62410,A6,5,,Programme Associate, SDR - (Only Open to UNDP National Staff with PA, FTA and Local Service Contracts),2015
SSSSDFOP,Z,UNDP,33658,A7,33,,Procurement Associate - Open to Kyrgyzstan nationals only,2012
SSSSSSSZ,Z,UNDP,28957,A16,46,,Programme Assistant, UNV,2012
SSSSSSSP,Z,UNDP,60298,A8,8,,Political Governance Analyst (Local national UNDP staff in Bangladesh with PA & FTA are only eligible to apply),2015
SSSSSSXF,Z,UNDP,24257,A7,14,,Procurement Associate,2019
SSSSSSXF,Z,UNDP,24906,A7,43,,Procurement Associate,2019
SSSSSSXR,Z,UNDP,15683,A9,138,,Programme Analyst - Environment & Climate Change,2010
SSSSSSXP,Z,UNDP,31185,A10,53,,National Programme Officer - Conflict Prevention and Early Recovery (for Yemeni Nationals only),2012
SSSSSSKO,Z,UNDP,40737,A6,194,,Human Resources (HR) Associate,2013
SSSSSSKK,Z,UNDP,40736,A6,153,,Procurement Associate,2013
SSSSSSKA,Z,UNDP,36085,A16,126,,Team Leader / Peace Consolidation and Democratic Institutions Advisor,2013
SSSSSSKD,Z,UNDP,5951,A6,64,,Programme Associate,2017
SSSSSSFS,Z,UNDP,12964,A6,90,,Executive Assistant,2017
SSSSSSFZ,Z,UNDP,24014,A9,58,,Operations Manager,2019
SSSSSSFZ,Z,UNDP,25282,A9,213,,Operations Manager,2019
SSSSSSFO,Z,UNDP,6062,A7,41,,Monitoring And Eval Associate,2017
SSSSSSFF,Z,UNDP,40766,A6,44,,Communications Associate - (Open to Saoudian Nationals Only),2013
SSSSSSFA,Z,UNDP,6375,A9,46,,Programme Analyst,2017
SSSSSSFP,Z,UNDP,35865,A6,32,,Associé (e) Exécutif (e) du RR/RC,2013
SSSSSSAS,Z,UNDP,65449,A7,70,,Finance Associate,2016
SSSSSSAO,Z,UNDP,22157,A6,72,,PROGRAM ASSOCIATE,2012
SSSSSSAO,Z,UNDP,31727,A6,36,,Associé au Programme (candidat ayant ou ayant eu un contrat du PNUD),2012
SSSSSSAO,DAOOPR,UNDP,53544,A6,136,Internal,Associé (e) au Programme - (Etre de nationalité sénégalaise ou résident),2015
SSSSSSAK,Z,UNDP,34128,A6,75,,Associé aux Finances,2012
SSSSSSAF,Z,UNDP,41805,A6,135,,Associé(e) à l’Administration,2013
SSSSSSAA,SDRDZF,UNDP,44637,A8,5,Internal,HR Analyst & Learning Manager,2014
SSSSSSAA,KSZZSZPD,UNDP,16636,A8,31,External,HR Analyst & Learning Manager,2018
SSSSSSRS,Z,UNDP,26818,A6,142,,Finance Associate,2011
SSSSSSRS,RRFRDD,UNDP,44671,A6,109,External,Associé(e) aux Finances.,2014
SSSSSSRO,Z,UNDP,44602,A16,3,,Assistant(e) aux Ressources Humaines,2014
SSSSSSRR,RDKRPA,UNDP,44609,A16,4,Internal,Administrative Assistant (Registry & Receptionist),2014
SSSSSSRP,Z,UNDP,11038,A14,23,,Chauffeur du Représentant Résident/Coordonnateur Résident,2017
SSSSSSDS,Z,UNDP,20920,A10,31,,Team Leader (Gouvernance),2019
SSSSSSDS,Z,UNDP,44631,A10,211,,Republication - Chef d'Equipe Gouvernance,2014
SSSSSSDZ,Z,UNDP,10423,A9,82,,Chargé(e) de Programme Gouvernance,2017
SSSSSSDZ,Z,UNDP,20876,A9,39,,Program Analyst (Gouv éco/adm),2019
SSSSSSDZ,RDKODA,UNDP,44596,A9,4,Internal,Chargé(e) de Programme (Gouvernance économique et administrative),2014
SSSSSSDX,RZPZAR,UNDP,44633,A10,95,Internal,Republication - Chef d'Equipe Resilience,2014
SSSSSSDO,FRRRKK,UNDP,45859,A10,39,External,National Economist - (Open to Niger Nationals Only),2014
SSSSSSDK,Z,UNDP,27948,A13,73,,Driver,2019
SSSSSZKZ,Z,UNDP,11970,A16,163,,Fleet Supervisor,2017
SSSSSZKZ,Z,UNDP,13027,A16,4,,Fleet Supervisor,2017
SSSSSZKZ,Z,UNDP,16183,A15,247,,Administrative Clerk(Fleet Supervisor),2018
SSSSSZKZ,Z,UNDP,19839,A15,338,,Fleet Supervisor (Admin Clerk),2018
SSSSSZKO,PAZORO,UNDP,78058,A16,1,Internal,Human Resources Assistant (Internal to UNDP Pakistan PA/FTA staff eligible for Round 1 of the Job Fair),2018
SSSSSZKA,PDFXZF,UNDP,9365,A16,142,External,Finance Assistant,2017
SSSSSZFP,Z,UNDP,18921,A10,473,,Finance/Budget Specialist,2018
SSSSSZAP,Z,UNDP,78059,A9,3,,ICT/Common Premises and Services (ICT/CPS) Analyst (Internal to UNDP Pakistan PA/FTA staff eligible for Round 1 of the Job Fair),2018
SSSSSZDZ,KSZZDZFA,UNDP,22237,A7,422,External,Human Resources Associate,2019
SSSSSKAZ,Z,UNDP,52610,A7,2,,Assets Associate,2015
SSSSSKAZ,Z,UNDP,54726,A7,5,,Assets Associate,2015
SSSSSKAP,Z,UNDP,19658,A15,134,,Administrative Assistant,2018
SSSSSKRS,Z,UNDP,52685,A16,5,,Oversight Assistant,2015
SSSSSKPS,AXKXDO,UNDP,53767,A14,11,External,Registry Clerk (Myanmar Nationals Only),2015
SSSSSKPX,RXOFPZ,UNDP,43184,A14,22,Internal,Human Resources Clerk - (Open to Myanmar Nationals Only),2014
SSSSSFSX,Z,UNDP,34405,A9,7,,Human Resources Analyst (Only for Myanmar Nationals),2012
SSSSSFSX,Z,UNDP,44362,A9,167,,Human Resources Analyst (Head of HR Unit) - (Open to Myanmar Nationals Only),2014
SSSSSFSX,Z,UNDP,6759,A9,27,,Human Resources Analyst,2016
SSSSSFSF,Z,UNDP,64818,A9,2,,Programme Analyst - (Open to National Staff of UNDP Namibiai Only),2016
SSSSSFSA,FAKFSO,UNDP,64816,A9,45,Internal,Re-advertisement - Operations Analyst - (Open to Nationals of Namibia Only),2016
SSSSSFSP,RSDSFO,UNDP,64819,A7,91,External,Re-advertisement - Programme Associate in Governance and Gender - (Open to Nationals of Namibia Only),2016
SSSSSFZX,Z,UNDP,64732,A13,190,,Re-advertisement - Driver - (Open to Nationals of Namibia Only),2016
SSSSSFZK,Z,UNDP,64733,A14,1,,Driver to the Head of Office - (Open to National Staff of UNDP Namibia Only),2016
SSSSSFZF,Z,UNDP,64735,A6,1,,Executive Associate to RC/RR - (Open to National Staff of UNDP Namibia Only),2016
SSSSSFZD,Z,UNDP,64805,A6,1,,Finance Associate - (Open to National Staff of UNDP Namibia Only),2016
SSSSSFZP,Z,UNDP,64817,A6,1,,Procurement Associate - (Open to National Staff of UNDP Namibia Only),2016
SSSSSFXO,Z,UNDP,34842,A10,4,,Assistant Country Director (Programme) (Only for UNDP/Nepal Internal National Staff Members),2013
SSSSSFXO,PZKPDP,UNDP,28886,A10,2,Internal,Assistant Country Director (ACD), Programme (Only for UNDP Nepal national staff members),2012
SSSSSFXO,PZKPDP,UNDP,29613,A10,164,Internal,Assistant Country Director (Only for Nepalese National),2012
SSSSSFXF,PZKPDP,UNDP,14475,A10,190,Internal,Assistant Resident Representative (Programme),2010
SSSSSFXF,PXPORO,UNDP,36294,A10,169,External,Assistant Country Director (Programme) (Open for National Nepalese ONLY),2013
SSSSSFOP,Z,UNDP,59404,A9,88,,Communications Analyst (Only applicable to Nepalese Nationals),2015
SSSSSFOP,XRXFPS,UNDP,32388,A9,166,External,Communications Analyst (Only applicable to Nepalese Nationals),2012
SSSSSFKS,PZSXDO,UNDP,30919,A6,2,Internal,Executive Associate to Country Director (Only for UNDP/Nepal Internal National Staff Members),2012
SSSSSFKX,Z,UNDP,27436,A6,4,,Programme Associate (Only for UNDP/Nepal Internal National Staff Members),2012
SSSSSFFF,Z,UNDP,15386,A11,27,,Head of Environment Unit,2018
SSSSSFAO,XPOZXX,UNDP,26233,A9,289,External,Finance Manager ( Analyst)  (For Indonesian nationality only),2011
SSSSSFDZ,FADRXX,UNDP,11531,A6,34,Internal,Finance Associate,2017
SSSSSFDK,KOKPPK,UNDP,4898,A16,58,External,Human Resources Assistant,2016
SSSSSFDP,PRZFO,UNDP,4899,A9,65,External,Programme Analyst,2016
SSSSSAZS,Z,UNDP,22108,A10,53,,Programme Management Specialist, UNDP Iraq,2011
SSSSSAZZ,Z,UNDP,18062,A6,56,,Executive Associate to the Resident Representative/Resident Coordinator, UNDP IRAQ,2010
SSSSSAZZ,Z,UNDP,23201,A6,40,,Executive Associate to the Resident Representative/Resident Coordinator, UNDP IRAQ [READVERTISEMENT],2011
SSSSSAZZ,KDPRKD,UNDP,27576,A6,62,External,Executive Associate to the Resident Representative/Resident Coordinator, UNDP IRAQ (RE-ADVERTISEMENT),2012
SSSSSAZX,Z,UNDP,7429,A7,45,,Operations Associate(GAU),2016
SSSSSAZX,XRSXAK,UNDP,7561,A7,110,Internal,Administrative Associate,2017
SSSSSAZO,Z,UNDP,20093,A7,58,,Programme Associate, UNDP Iraq - Erbil / Iraq,2010
SSSSSAZK,Z,UNDP,25363,A6,56,,ICT Support Associate, UNDP Iraq,2011
SSSSSPZF,Z,UNDP,57132,A9,24,,Human Resources Analyst ( for Lao National only),2015
SSSSSPZF,Z,UNDP,58019,A9,7,,Human Resources Analyst ( for Lao Natinal only) - Re-advertised,2015
SSSSSPZF,SSFKAA,UNDP,22767,A6,17,Internal,Programme Associate (for Lao National only),2011
SSSSSPZA,SSFFSR,UNDP,28727,A9,22,Internal,Human Resources (HR) Analyst,2012
SSSSSPZR,PARKPA,UNDP,9690,A8,15,External,Programme Analyst,2017
SSSSSPZR,KSZZSDRD,UNDP,17245,A8,16,External,Programme Analyst,2018
SSSSSPZR,KSZZSDRD,UNDP,17830,A8,24,External,Programme Analyst,2018
SSSSSPZR,KSZZDFFS,UNDP,25183,A8,16,External,Programme Analyst,2019
SSSSSPZR,KRXDOO,UNDP,36824,A8,20,External,Programme Analyst (For Lao National Only),2013
SSSSSPZD,Z,UNDP,19925,A9,23,,Programme Analyst - Natural Resources Management and Climate Change,2018
SSSSSPZD,FAOSSZ,UNDP,21611,A9,22,External,Programme Analyst - Environment for Lao National Only,2011
SSSSSPXS,OFOORF,UNDP,36479,A14,11,Internal,Senior Driver (Lao National ONLY),2013
SSSSSPXX,Z,UNDP,31234,A8,10,,Procurement Analyst,2012
SSSSSPXO,RZSDZA,UNDP,14813,A7,42,Internal,Procurement and Travel Associate,2010
SSSSSPXF,Z,UNDP,14267,A6,32,,Human Resouces Associate  ( for Lao National only),2010
SSSSSPXF,KSZZSZDS,UNDP,15565,A6,22,External,Human Resources Associate,2018
SSSSSPXF,XRFDFO,UNDP,28981,A6,9,External,Human Resources Associate,2012
SSSSSPOA,PKKZDS,UNDP,21923,A7,266,Internal,Administrative Associate,2011
SSSSSPOR,Z,UNDP,21908,A10,172,,Operations Manager,2011
SSSSSPFK,Z,UNDP,20648,A16,98,,Executive Assistant,2019
SSSSSPFK,Z,UNDP,25819,A16,60,,Executive Assistant,2019
SSSSSPFK,Z,UNDP,5179,A16,45,,Executive Assistant,2016
SSSSSPRZ,XFAASO,UNDP,34601,A8,9,External,Human Resource Analyst (Only for Lesotho Nationals),2013
SSSSSPRD,Z,UNDP,4392,A10,10,,Programme Specialist - M&E, Compliance & Reporting,2016
SSSSSPRD,DKARRS,UNDP,9794,A10,21,External,Programme Specialist - M&E, Compliance & Reporting,2017
SSSSSPRD,AOXOPX,UNDP,52785,A10,21,External,Programme Specialist - M&E, Compliance and Reporting - (Open to Liberian Nationals Only),2015
SSSSSPRP,Z,UNDP,54794,A7,299,,Associé (e) en Informatique,2015
SSSSSPDS,Z,UNDP,12422,A7,97,,Administrative Associate,2017
SSSSSPDS,RZOPXA,UNDP,26007,A7,48,Internal,Admin &Human Resources (HR) Associate,2019
SSSSSPDO,Z,UNDP,24528,A15,29,,Registry Clerk,2019
SSSSSPDK,Z,UNDP,41183,A10,51,,National Economist/Economics Specialist,2013
SSSSSPDF,KOPPSR,UNDP,22221,A6,34,Internal,Executive Associate,2019
SSSSSPDA,Z,UNDP,6174,A10,48,,Operations Specialist,2016
SSSSSPDA,RPOSSO,UNDP,9693,A10,39,External,Operations Specialist,2017
SSSSSPDD,Z,UNDP,24143,A7,17,,Programme Associate -M&E (National Position- Liberians ONLY),2011
SSSSSPPS,Z,UNDP,12634,A7,55,,Human Resources Associate,2017
SSSSSPPS,Z,UNDP,21299,A7,77,,Human Resources Associate (National position - Liberian Nationals only),2011
SSSSSPPS,Z,UNDP,22222,A7,74,,Human Resources Associate,2019
SSSSSPPS,SPXAFX,UNDP,55001,A7,22,External,Human Resources Associate - (Open to Liberian Nationals Only),2015
SSSSSPPF,Z,UNDP,11380,A11,29,,Team Leader, Democratic Governance,2017
SSSSSPPF,Z,UNDP,18407,A11,31,,Re-advertisement: Team Leader, Democratic Governance,2018
SSSSSPPF,Z,UNDP,8256,A11,35,,Team Leader, Democratic Governance,2017
SSSSSPPF,DKPPAS,UNDP,22630,A10,39,Internal,Team Leader-Democratic Governance,2019
SSSSSPPR,Z,UNDP,46794,A6,58,,Executive Associate to the Country Director,2014
SSSSSPPD,Z,UNDP,44184,A7,16,,HR Associate (Open to Libyan Nationals only),2014
SSSSZSSS,Z,UNDP,44144,A7,11,,Re-advertisement - Administrative Associate - (Open to Libyan Nationals only),2014
SSSSZSSK,Z,UNDP,44191,A9,11,,Re-advertisement - Programme Analyst, Environment and Sustainable Development - (Open to Libyan Nationals only),2014
SSSSZODK,KSZZDZSD,UNDP,24079,A6,25,External,Executive Associate,2019
SSSSZODF,Z,UNDP,47872,A9,126,,ICT Analyst (Open to Mozambican Nationals Only),2014
SSSSZODF,RPDZZF,UNDP,17580,A7,78,Internal,ICT Associate,2018
SSSSZODA,Z,UNDP,17585,A6,37,,Programme Associate,2018
SSSSZODA,SAZAZF,UNDP,43539,A6,37,Internal,Programme Associate,2014
SSSSZODD,Z,UNDP,17582,A6,27,,Programme Associate,2018
SSSSZOPK,ASSOKD,UNDP,56448,A16,60,Internal,Re-advertisement -Finance Assistant - (Open to Mozambican Nationals Only),2015
SSSSZOPD,Z,UNDP,17572,A14,30,,Driver / Registry Clerk,2018
SSSSZOPP,Z,UNDP,17578,A13,13,,Driver,2018
SSSSZKSX,Z,UNDP,33692,A6,129,,Procurement Associate,2012
SSSSZKSX,RAKFZS,UNDP,37236,A6,288,Internal,Procurement Associate,2013
SSSSZKXS,Z,UNDP,51138,A6,58,,Programme Associate -(Open to Myanmar Nationals only),2014
SSSSZKXZ,RRROOK,UNDP,42885,A16,74,External,Programme Assistant,2014
SSSSZKXF,Z,UNDP,53765,A15,33,,Re-advertisement - Administrative Clerk – Transport Unit  - (Open to Myanmar Nationals Only),2015
SSSSZKXA,SDZZFS,UNDP,64737,A6,49,Internal,Programme Associate (Open to Myanmar Nationals Only),2016
SSSSZKOO,Z,UNDP,32106,A9,10,,Finance Analyst (for Myanmar Nationals Only),2012
SSSSZKOO,DSFXFA,UNDP,6718,A9,47,Internal,Finance Analyst,2017
SSSSZKOK,SAZOZF,UNDP,53168,A6,2,External,Programme Associate (Pillar II) - (Open to Myanmar Nationals only),2015
SSSSZKOF,Z,UNDP,26656,A13,104,,Driver, G2, Yangon (Min net pay - USD 784.67 to max net pay USD 918.67 per month),2019
SSSSZKOF,KXROOF,UNDP,44881,A13,10,External,Driver - (Open to Myanmar Nationals Only),2014
SSSSZKOP,KXROOF,UNDP,25254,A14,84,Internal,Senior Driver, G3 (Net salary per annum: min USD 11,112 ~ max 13,008),2019
SSSSZKKF,Z,UNDP,55338,A13,92,,Driver - Open to Sri Lankan Nationals Only,2015
SSSSZKFO,Z,UNDP,5591,A6,2,,Procurement Associate (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSSZKFK,Z,UNDP,5627,A6,7,,Human Resources Associate (Learning),2016
SSSSZKFF,Z,UNDP,5551,A6,6,,Executive Associate to Country Director,2016
SSSSZKFF,KSZZSZAA,UNDP,14485,A6,88,External,Executive Associate to Country Director,2018
SSSSZKFF,KSZZSZAA,UNDP,16493,A6,67,External,Executive Associate to Country Director,2018
SSSSZKFA,Z,UNDP,5565,A8,2,,Procurement Analyst (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSSZKFA,Z,UNDP,7080,A8,37,,Procurement Analyst (Re-Advertisment),2016
SSSSZKFR,Z,UNDP,5598,A6,2,,ICT Support Associate (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSSZKAZ,Z,UNDP,5553,A6,4,,Programme Associate (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSSZKAZ,Z,UNDP,7075,A6,38,,Programme Associate (Re-Advertisment),2016
SSSSZKAX,Z,UNDP,25391,A7,85,,Executive Associate to UN Resident & Humanitarian Coordinator,2019
SSSSZKAX,Z,UNDP,5550,A7,2,,Executive Associate (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSSZKAP,Z,UNDP,5616,A16,5,,Administrative Assistant (Protocol) - 2 Positions - (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSSZKAP,Z,UNDP,7085,A16,53,,Administrative Assistant (Protocol) - Re-Advertisment,2016
SSSSZKRZ,Z,UNDP,5535,A14,6,,Finance Clerk (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
